Phone Number,Message,Received
7016308537.0,Received,"Dear Customer, You have 0000 missed calls from +0000 The last missed call was at 0000:0000 AM on 0000-Jun-0000 Thankyou, Team Jio."
7738260402.0,Received,"Dear Customer, You have a missed call from +0000 The last missed call was at 0000:0000 PM on 0000-May-0000 Thankyou, Team Jio."
7738260402.0,Received,"Dear Customer, +0000 is now available to take calls."
8037805031.0,Received,"Dear Customer, You have a missed call from +0000 The last missed call was at 0000:0000 AM on 0000-Apr-0000 Thankyou, Team Jio."
9512606460.0,Received,"Dear Customer, You have a missed call from +0000 The last missed call was at 0000:0000 AM on 0000-Jun-0000 Thankyou, Team Jio."
57273200.0,Received,<#> 0000 is your Facebook code Laz+nxCarLW
57575022.0,Received,Amazon:     0000       
57575022.0,Received,"https://amazon.in/a/c/r/Ip0000zP0000RSAEP0000Ge0000hoEOkhU0000Ea

Amazon: Sign-in from MH, IN. Tap link to respond."
57575022.0,Received,0000   Amazon OTP      
57575701.0,Received,Xiaomi Account verification code: 0000. Don''t share this code.
AD-142424 ,Received,Cheers! You are now eligible for an ICICI Bank Credit Card with a limit of Rs 0000. Download iMobile Pay & avail it now at bit.ly/0000RT0000Wuc . T&C apply.
AD-MYGATE ,Received,"<#> 0000 is your OTP to access MyGate account. This OTP will be valid for 0000 minutes 
U0000dZPGuHaLI"
AD-SBIOTP ,Received,OTP for online purchase of Rs. 0000.0000 at www.meesho.com thru State Bank Debit Card 0000*****0000 is 0000. Do not share this with anyone.
AD-UBNPRO ,Received,0000 is the OTP (One Time Password) to verify your phone number on UrbanPro.com @www.urbanpro.com #0000
AD-UBNPRO ,Received,"Thanks for posting your requirement for Vocal Music classes on UrbanPro.com. To verify or to cancel this requirement, click http://ubpro.in/GQTfCP0000u"
AX-SFXFWD ,Received,Shadowfax rider 0000 will deliver your Meesho order AWB SF0000FPL today. Attempt code 0000 Visit https://lnk.shadowfax.in/hyGq0000pFV
AX-SFXFWD ,Received,Order Update: Please give the Delivered code 0000 for order SF0000FPL to the partner ONLY when they are at the doorstep - Shadowfax
AX-SFXFWD ,Received,Your 0000 = JAL =.. +0000 items from Meesho has been delivered by Shadowfax. Track https://lnk.shadowfax.in/hyGq0000pFV
BP-SBIOTP ,Received,OTP for online purchase of Rs. 0000.0000 at MEESHO COM thru State Bank Debit Card 0000*****0000 is 0000. Do not share this with anyone.
BV-CBSSBI ,Received,"Your A/C XXXXX0000 has credit for 0000 0000 MEESHO of Rs 0000.0000 on 0000/0000/0000. Avl Bal Rs 0000,0000.0000.-SBI"
BV-CBSSBI ,Received,"Your A/C XXXXX0000 Credited INR 0000,0000.0000 on 0000/0000/0000 -Deposit by transfer from Mr. Sanjib Kumar Dut. Avl Bal INR 0000,0000.0000-SBI"
BV-SBIMUM ,Received,"Dear SBI Customer, Thank you for registering YONO. Please activate with any ONE txn, i.e.YONO Cash/UPI/Fund Trf etc and experience secured and seamless banking."
BV-SBIOTP ,Received,OTP for online purchase of Rs. 0000.0000 at Fashnear Technologie thru State Bank Debit Card 0000*****0000 is 0000. Do not share this with anyone.
BV-SBIOTP ,Received,OTP for online purchase of Rs. 0000.0000 at FASHNEAR TECHNOLOGIE thru State Bank Debit Card 0000*****0000 is 0000. Do not share this with anyone.
BW-SBIDGT ,Received,"Dear SBI Customer, Your SBI Debit Card ending 0000 is due for renewal. Bank will send a new card shortly. Pls update your KYC to avoid rejection. In case you do not want to renew please block the card. - SBI"
BW-SFXFWD ,Received,Your SH 0000 NICE MOP from Meesho has been delivered by Shadowfax. Track https://lnk.shadowfax.in/0000es0000Abg
CP-112299 ,Received,"Get a Personal Loan in no time!
Click to avail (Rs.0000)pfloan.in/gpl pre-approved Personal Loan from Poonawalla Fincorp.
Call @ 0000
Limited period offer
*T&C Apply"
CP-176969 ,Received,"Hi Customer, Increase your cash in hand by reducing EMIs, go for Home Loan Balance Transfer from Bajaj & enjoy savings. Click https://zgz.nu/pz0000gg0000i0000"
CP-ATMSBI ,Received,"Dear SBI Customer, Rs.0000 withdrawn at SBI ATM S0000BG0000 from A/cX0000 on 0000Apr0000 Transaction Number 0000. Available Balance Rs.0000. If not withdrawn by you, forward this SMS to 0000 / call 0000 or 0000 to block your card. Call 0000 if cash not received."
CP-ATMSBI ,Received,"Dear Customer, transaction number 0000 for Rs.0000.0000 by SBI Debit Card X0000 done at 0000 on 0000Apr0000 at 0000:0000:0000. Your updated available balance is Rs.0000.0000. If not done by you, forward this SMS to 0000/ call 0000/0000 to block card. GOI helpline for cyber fraud 0000."
CP-BajajO ,Received,"Hi Customer, Reduce the burden of your existing Home Loan by transferring them to Bajaj & avail the benefits of lower ROI & EMIs. Click https://eej.at/kFNiBkev"
CP-BajajO ,Received,"Dear Customer, Paying high EMI on Home Loan? Transfer it to Bajaj Housing with interest rates starting from 0000.0000%*. Click: https://eej.at/0000vjFkiST"
CP-BajajO ,Received,"Dear Customer, Paying high EMI on Home Loan? Transfer it to Bajaj Housing with interest rates starting from 0000.0000%*. Click: https://eej.at/0000mdlRudU"
CP-BajajO ,Received,"Dear Manisha, Consolidate your debt by transferring your Home Loan to Bajaj & reduce your EMI burden. ROI @ 0000.0000%*. Click: https://eej.at/tkJTBFWq"
CP-BajajO ,Received,"Hi Manisha , Transfer your Home Loan to Bajaj Housing and save your monthly EMI by 0000%*, rate starting at 0000.0000%*, Apply Now .Click https://eej.at/xTHeWr0000J"
CP-BajajO ,Received,"Hi Customer , Transfer your Home Loan to Bajaj Housing and save your monthly EMI by 0000%*, rate starting at 0000.0000%*, Apply Now .Click https://eej.at/LDn0000Dhyj"
CP-BajajO ,Received,"Hi Customer, Save on your EMIs by transferring your Home Loan to Bajaj & get the best rate in the market starting from 0000.0000%*. Click: https://eej.at/TyPaeHo0000"
CP-BajajO ,Received,"Dear Customer, own your dream home. Get Home Loan starting at 0000.0000%* from Bajaj Housing with minimum documentation. Apply Now https://eej.at/f0000EJ0000tRM"
CP-BajajO ,Received,"Hi Customer, Save on your EMIs by transferring your Home Loan to Bajaj & get the best rate in the market starting from 0000.0000%*. Click: https://eej.at/kg0000zsvHs"
CP-BALCAL ,Received,"Dear Manisha, on your special day, we wish you good health and an amazing year ahead. Happy Birthday !! Team Balcal Nutrefy."
CP-DLHVRY ,Received,"0000 is OTP for Manisha Dutta(Pure EI cotton Tant saree), AWB(0000).Share when agent is at your premise.Track here: bit.ly/0000AVGYUz -Delhivery"
CP-MSHOTP ,Received,Your OTP for Meesho login is 0000 and is valid for 0000 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM0000bXKNc Meesho
CP-MYNTRA ,Received,"Explore the great deals @ Myntra's End Of Reason Sale
Buy 0000, Get 0000 Free, Rs.0000 Deals, Rs.0000 Deals & more
Add to wishlist now
smsd.in/lVKIos0000l"
CP-MYNTRA ,Received,"Manisha, something big is coming!
Myntra's End Of Reason Sale starts at midnight
Get great offers on your 0000st order
Add to cart now
smsd.in/mf0000dUpvh"
